"Step","gigrpo_qwen2.5_7b_alf_balance_cold_start_lr5e7_bs32_1101 - episode/success_rate","gigrpo_qwen2.5_7b_alf_balance_cold_start_lr5e7_bs32_1101 - episode/success_rate__MIN","gigrpo_qwen2.5_7b_alf_balance_cold_start_lr5e7_bs32_1101 - episode/success_rate__MAX","rlvcr_qwen2.5_7b_alf_balance_cold_start_lr5e7_bs64_tg_kl0.01_wofd_0923 - episode/success_rate","rlvcr_qwen2.5_7b_alf_balance_cold_start_lr5e7_bs64_tg_kl0.01_wofd_0923 - episode/success_rate__MIN","rlvcr_qwen2.5_7b_alf_balance_cold_start_lr5e7_bs64_tg_kl0.01_wofd_0923 - episode/success_rate__MAX","grpo_qwen2.5_7b_alf_balance_cold_start_lr5e7_bs64_0915 - episode/success_rate","grpo_qwen2.5_7b_alf_balance_cold_start_lr5e7_bs64_0915 - episode/success_rate__MIN","grpo_qwen2.5_7b_alf_balance_cold_start_lr5e7_bs64_0915 - episode/success_rate__MAX"
"114","0.953125","0.953125","0.953125","0.921875","0.921875","0.921875","0.5625","0.5625","0.5625"
"115","0.921875","0.921875","0.921875","0.8125","0.8125","0.8125","0.5","0.5","0.5"
"116","0.859375","0.859375","0.859375","0.71875","0.71875","0.71875","0.9375","0.9375","0.9375"
"117","0.953125","0.953125","0.953125","0.75","0.75","0.75","0.78125","0.78125","0.78125"
"118","0.875","0.875","0.875","0.859375","0.859375","0.859375","0.875","0.875","0.875"
"119","0.828125","0.828125","0.828125","0.828125","0.828125","0.828125","0.875","0.875","0.875"
"120","0.84375","0.84375","0.84375","0.828125","0.828125","0.828125","0.65625","0.65625","0.65625"
"121","0.953125","0.953125","0.953125","1","1","1","0.9375","0.9375","0.9375"
"122","0.78125","0.78125","0.78125","0.921875","0.921875","0.921875","0.84375","0.84375","0.84375"
"123","0.859375","0.859375","0.859375","0.921875","0.921875","0.921875","0.84375","0.84375","0.84375"
"124","0.921875","0.921875","0.921875","0.9375","0.9375","0.9375","1","1","1"
"125","0.90625","0.90625","0.90625","0.765625","0.765625","0.765625","0.75","0.75","0.75"
"126","0.8125","0.8125","0.8125","0.828125","0.828125","0.828125","0.78125","0.78125","0.78125"
"127","0.96875","0.96875","0.96875","0.90625","0.90625","0.90625","0.9375","0.9375","0.9375"
"128","0.875","0.875","0.875","0.765625","0.765625","0.765625","0.78125","0.78125","0.78125"
"129","0.671875","0.671875","0.671875","0.796875","0.796875","0.796875","0.8125","0.8125","0.8125"
"130","0.875","0.875","0.875","0.75","0.75","0.75","0.71875","0.71875","0.71875"
"131","0.78125","0.78125","0.78125","0.9375","0.9375","0.9375","0.84375","0.84375","0.84375"
"132","0.875","0.875","0.875","0.859375","0.859375","0.859375","0.9375","0.9375","0.9375"
"133","0.875","0.875","0.875","0.84375","0.84375","0.84375","0.875","0.875","0.875"
"134","0.75","0.75","0.75","0.75","0.75","0.75","0.9375","0.9375","0.9375"
"135","0.703125","0.703125","0.703125","0.875","0.875","0.875","0.625","0.625","0.625"
"136","0.84375","0.84375","0.84375","0.875","0.875","0.875","0.8125","0.8125","0.8125"
"137","0.96875","0.96875","0.96875","0.90625","0.90625","0.90625","0.9375","0.9375","0.9375"
"138","0.953125","0.953125","0.953125","0.90625","0.90625","0.90625","0.875","0.875","0.875"
"139","0.890625","0.890625","0.890625","0.984375","0.984375","0.984375","0.9375","0.9375","0.9375"
"140","0.875","0.875","0.875","0.796875","0.796875","0.796875","0.71875","0.71875","0.71875"
"141","0.875","0.875","0.875","0.90625","0.90625","0.90625","0.78125","0.78125","0.78125"
"142","0.890625","0.890625","0.890625","0.875","0.875","0.875","0.875","0.875","0.875"
"143","0.59375","0.59375","0.59375","0.875","0.875","0.875","0.875","0.875","0.875"
"144","0.8125","0.8125","0.8125","0.90625","0.90625","0.90625","0.9375","0.9375","0.9375"
"145","0.75","0.75","0.75","0.8125","0.8125","0.8125","0.78125","0.78125","0.78125"
"146","0.859375","0.859375","0.859375","0.96875","0.96875","0.96875","0.8125","0.8125","0.8125"
"147","0.71875","0.71875","0.71875","0.828125","0.828125","0.828125","0.90625","0.90625","0.90625"
"148","0.9375","0.9375","0.9375","0.90625","0.90625","0.90625","0.96875","0.96875","0.96875"
"149","0.859375","0.859375","0.859375","0.875","0.875","0.875","0.75","0.75","0.75"
"150","0.859375","0.859375","0.859375","0.9375","0.9375","0.9375","0.78125","0.78125","0.78125"
"151","0.953125","0.953125","0.953125","0.953125","0.953125","0.953125","0.84375","0.84375","0.84375"
"152","0.765625","0.765625","0.765625","0.921875","0.921875","0.921875","0.96875","0.96875","0.96875"
"153","0.65625","0.65625","0.65625","0.703125","0.703125","0.703125","0.84375","0.84375","0.84375"
"154","0.671875","0.671875","0.671875","0.9375","0.9375","0.9375","0.6875","0.6875","0.6875"
"155","0.8125","0.8125","0.8125","0.796875","0.796875","0.796875","1","1","1"
"156","0.78125","0.78125","0.78125","0.921875","0.921875","0.921875","0.8125","0.8125","0.8125"
"157","","","","0.640625","0.640625","0.640625","0.90625","0.90625","0.90625"
"158","","","","0.75","0.75","0.75","0.84375","0.84375","0.84375"
"159","","","","0.96875","0.96875","0.96875","0.84375","0.84375","0.84375"
"160","","","","0.796875","0.796875","0.796875","0.8125","0.8125","0.8125"
"161","","","","0.84375","0.84375","0.84375","0.84375","0.84375","0.84375"
"162","","","","0.9375","0.9375","0.9375","0.84375","0.84375","0.84375"
"163","","","","0.84375","0.84375","0.84375","0.625","0.625","0.625"
"164","","","","0.90625","0.90625","0.90625","0.875","0.875","0.875"
"165","","","","0.734375","0.734375","0.734375","0.875","0.875","0.875"
"166","","","","0.859375","0.859375","0.859375","0.875","0.875","0.875"
"167","","","","1","1","1","0.90625","0.90625","0.90625"
"168","","","","0.953125","0.953125","0.953125","0.96875","0.96875","0.96875"
"169","","","","0.90625","0.90625","0.90625","0.78125","0.78125","0.78125"
"170","","","","0.859375","0.859375","0.859375","0.96875","0.96875","0.96875"
"171","","","","0.984375","0.984375","0.984375","0.96875","0.96875","0.96875"
"172","","","","0.875","0.875","0.875","0.90625","0.90625","0.90625"
"173","","","","0.984375","0.984375","0.984375","0.9375","0.9375","0.9375"
"174","","","","0.890625","0.890625","0.890625","0.875","0.875","0.875"
"175","","","","0.953125","0.953125","0.953125","0.8125","0.8125","0.8125"
"176","","","","0.984375","0.984375","0.984375","0.9375","0.9375","0.9375"
"177","","","","0.890625","0.890625","0.890625","0.65625","0.65625","0.65625"
"178","","","","0.84375","0.84375","0.84375","0.9375","0.9375","0.9375"
"179","","","","0.875","0.875","0.875","0.90625","0.90625","0.90625"
"180","","","","0.96875","0.96875","0.96875","0.90625","0.90625","0.90625"
"181","","","","0.984375","0.984375","0.984375","0.90625","0.90625","0.90625"
"182","","","","0.875","0.875","0.875","0.90625","0.90625","0.90625"
"183","","","","0.875","0.875","0.875","0.84375","0.84375","0.84375"
"184","","","","1","1","1","0.78125","0.78125","0.78125"
"185","","","","0.84375","0.84375","0.84375","0.875","0.875","0.875"
"186","","","","0.890625","0.890625","0.890625","0.90625","0.90625","0.90625"
"187","","","","0.953125","0.953125","0.953125","1","1","1"
"188","","","","1","1","1","0.9375","0.9375","0.9375"
"189","","","","0.875","0.875","0.875","0.9375","0.9375","0.9375"
"190","","","","0.796875","0.796875","0.796875","0.875","0.875","0.875"
"191","","","","0.84375","0.84375","0.84375","0.75","0.75","0.75"
"192","","","","0.796875","0.796875","0.796875","0.96875","0.96875","0.96875"
"193","","","","0.96875","0.96875","0.96875","0.90625","0.90625","0.90625"
"194","","","","0.796875","0.796875","0.796875","0.84375","0.84375","0.84375"
"195","","","","0.96875","0.96875","0.96875","0.78125","0.78125","0.78125"
"196","","","","0.90625","0.90625","0.90625","0.9375","0.9375","0.9375"
"197","","","","0.96875","0.96875","0.96875","1","1","1"
"198","","","","0.765625","0.765625","0.765625","0.90625","0.90625","0.90625"
"199","","","","1","1","1","0.875","0.875","0.875"
"200","","","","0.9375","0.9375","0.9375","0.9375","0.9375","0.9375"
