Step,gigpo_qwen2.5_7b_sci_balance_cold_start_verl_v2_lr5e7_bs32_kl0.05_1103 - episode/success_rate,gigpo_qwen2.5_7b_sci_balance_cold_start_verl_v2_lr5e7_bs32_kl0.05_1103 - episode/success_rate__MIN,gigpo_qwen2.5_7b_sci_balance_cold_start_verl_v2_lr5e7_bs32_kl0.05_1103 - episode/success_rate__MAX,grpo_qwen2.5_7b_sci_balance_cold_start_verl_v2_lr5e7_bs32_kl0.05_1023 - episode/success_rate,grpo_qwen2.5_7b_sci_balance_cold_start_verl_v2_lr5e7_bs32_kl0.05_1023 - episode/success_rate__MIN,grpo_qwen2.5_7b_sci_balance_cold_start_verl_v2_lr5e7_bs32_kl0.05_1023 - episode/success_rate__MAX,rlvcr_qwen2.5_7b_sci_balance_cold_start_verl_v2_lr5e7_bs32_kl0.2_1019 - episode/success_rate,rlvcr_qwen2.5_7b_sci_balance_cold_start_verl_v2_lr5e7_bs32_kl0.2_1019 - episode/success_rate__MIN,rlvcr_qwen2.5_7b_sci_balance_cold_start_verl_v2_lr5e7_bs32_kl0.2_1019 - episode/success_rate__MAX
71,0.625,0.625,0.625,0.578125,0.578125,0.578125,0.703125,0.703125,0.703125
72,0.484375,0.484375,0.484375,0.578125,0.578125,0.578125,0.609375,0.609375,0.609375
73,0.5625,0.5625,0.5625,0.515625,0.515625,0.515625,0.71875,0.71875,0.71875
74,0.640625,0.640625,0.640625,0.5,0.5,0.5,0.734375,0.734375,0.734375
75,0.484375,0.484375,0.484375,0.46875,0.46875,0.46875,0.5625,0.5625,0.5625
76,0.484375,0.484375,0.484375,0.515625,0.515625,0.515625,0.6875,0.6875,0.6875
77,0.421875,0.421875,0.421875,0.515625,0.515625,0.515625,0.6875,0.6875,0.6875
78,0.375,0.375,0.375,0.40625,0.40625,0.40625,0.6875,0.6875,0.6875
79,0.484375,0.484375,0.484375,0.5,0.5,0.5,0.703125,0.703125,0.703125
80,0.4375,0.4375,0.4375,0.546875,0.546875,0.546875,0.765625,0.765625,0.765625
81,0.234375,0.234375,0.234375,0.484375,0.484375,0.484375,0.6875,0.6875,0.6875
82,0.296875,0.296875,0.296875,0.484375,0.484375,0.484375,0.734375,0.734375,0.734375
83,0.390625,0.390625,0.390625,0.5625,0.5625,0.5625,0.75,0.75,0.75
84,0.40625,0.40625,0.40625,0.421875,0.421875,0.421875,0.71875,0.71875,0.71875
85,0.328125,0.328125,0.328125,0.5625,0.5625,0.5625,0.8125,0.8125,0.8125
86,0.421875,0.421875,0.421875,0.5625,0.5625,0.5625,0.78125,0.78125,0.78125
87,0.515625,0.515625,0.515625,0.609375,0.609375,0.609375,0.828125,0.828125,0.828125
88,0.4375,0.4375,0.4375,0.625,0.625,0.625,0.671875,0.671875,0.671875
89,0.46875,0.46875,0.46875,0.53125,0.53125,0.53125,0.759375,0.759375,0.759375
90,0.390625,0.390625,0.390625,0.484375,0.484375,0.484375,0.734375,0.734375,0.734375
91,0.46875,0.46875,0.46875,0.46875,0.46875,0.46875,0.734375,0.734375,0.734375
92,0.46875,0.46875,0.46875,0.609375,0.609375,0.609375,0.765625,0.765625,0.765625
93,0.46875,0.46875,0.46875,0.5,0.5,0.5,0.759375,0.759375,0.759375
94,0.46875,0.46875,0.46875,0.640625,0.640625,0.640625,0.75,0.75,0.75
95,0.53125,0.53125,0.53125,0.578125,0.578125,0.578125,0.78125,0.78125,0.78125
96,0.46875,0.46875,0.46875,0.578125,0.578125,0.578125,0.703125,0.703125,0.703125
97,0.421875,0.421875,0.421875,0.53125,0.53125,0.53125,0.71875,0.71875,0.71875
98,0.5,0.5,0.5,0.53125,0.53125,0.53125,0.734375,0.734375,0.734375
99,0.5,0.5,0.5,0.59375,0.59375,0.59375,0.8125,0.8125,0.8125
100,0.5625,0.5625,0.5625,0.578125,0.578125,0.578125,0.78125,0.78125,0.78125
101,0.484375,0.484375,0.484375,0.609375,0.609375,0.609375,0.734375,0.734375,0.734375
102,0.5,0.5,0.5,0.59375,0.59375,0.59375,0.78125,0.78125,0.78125
103,0.546875,0.546875,0.546875,0.5625,0.5625,0.5625,0.703125,0.703125,0.703125
104,0.59375,0.59375,0.59375,0.484375,0.484375,0.484375,0.703125,0.703125,0.703125
105,0.46875,0.46875,0.46875,0.375,0.375,0.375,0.578125,0.578125,0.578125
106,0.515625,0.515625,0.515625,0.4375,0.4375,0.4375,0.59375,0.59375,0.59375
107,0.5,0.5,0.5,0.59375,0.59375,0.59375,0.6875,0.6875,0.6875
108,0.4375,0.4375,0.4375,0.640625,0.640625,0.640625,0.609375,0.609375,0.609375
109,0.46875,0.46875,0.46875,0.5625,0.5625,0.5625,0.640625,0.640625,0.640625
110,0.484375,0.484375,0.484375,0.515625,0.515625,0.515625,0.53125,0.53125,0.53125
111,0.5,0.5,0.5,0.5,0.5,0.5,0.671875,0.671875,0.671875
112,0.53125,0.53125,0.53125,0.578125,0.578125,0.578125,0.609375,0.609375,0.609375
113,0.40625,0.40625,0.40625,0.484375,0.484375,0.484375,0.765625,0.765625,0.765625
114,0.546875,0.546875,0.546875,0.609375,0.609375,0.609375,0.796875,0.796875,0.796875
115,0.453125,0.453125,0.453125,0.65625,0.65625,0.65625,0.84375,0.84375,0.84375
116,0.4375,0.4375,0.4375,0.671875,0.671875,0.671875,0.8125,0.8125,0.8125
117,0.640625,0.640625,0.640625,0.75,0.75,0.75,0.765625,0.765625,0.765625
118,0.59375,0.59375,0.59375,0.484375,0.484375,0.484375,0.6875,0.6875,0.6875
119,0.515625,0.515625,0.515625,0.453125,0.453125,0.453125,0.59375,0.59375,0.59375
120,0.671875,0.671875,0.671875,0.65625,0.65625,0.65625,0.78125,0.78125,0.78125
121,0.46875,0.46875,0.46875,0.578125,0.578125,0.578125,0.640625,0.640625,0.640625
122,0.578125,0.578125,0.578125,0.5625,0.5625,0.5625,0.671875,0.671875,0.671875
123,0.59375,0.59375,0.59375,0.453125,0.453125,0.453125,0.75,0.75,0.75
124,0.5625,0.5625,0.5625,0.625,0.625,0.625,0.671875,0.671875,0.671875
125,0.5,0.5,0.5,0.484375,0.484375,0.484375,0.71875,0.71875,0.71875
126,0.5,0.5,0.5,0.5,0.5,0.5,0.65625,0.65625,0.65625
127,0.421875,0.421875,0.421875,0.609375,0.609375,0.609375,0.734375,0.734375,0.734375
128,0.5,0.5,0.5,0.59375,0.59375,0.59375,0.765625,0.765625,0.765625
129,0.46875,0.46875,0.46875,0.53125,0.53125,0.53125,0.71875,0.71875,0.71875
130,0.40625,0.40625,0.40625,0.5625,0.5625,0.5625,0.796875,0.796875,0.796875
131,0.5625,0.5625,0.5625,0.65625,0.65625,0.65625,0.75,0.75,0.75
132,0.515625,0.515625,0.515625,0.515625,0.515625,0.515625,0.703125,0.703125,0.703125
133,0.546875,0.546875,0.546875,0.53125,0.53125,0.53125,0.6875,0.6875,0.6875
134,0.46875,0.46875,0.46875,0.515625,0.515625,0.515625,0.578125,0.578125,0.578125
135,0.375,0.375,0.375,0.46875,0.46875,0.46875,0.671875,0.671875,0.671875
136,0.53125,0.53125,0.53125,0.515625,0.515625,0.515625,0.71875,0.71875,0.71875
137,0.515625,0.515625,0.515625,0.578125,0.578125,0.578125,0.703125,0.703125,0.703125
138,0.546875,0.546875,0.546875,0.546875,0.546875,0.546875,0.765625,0.765625,0.765625
139,0.484375,0.484375,0.484375,0.515625,0.515625,0.515625,0.75,0.75,0.75
140,0.53125,0.53125,0.53125,0.59375,0.59375,0.59375,0.765625,0.765625,0.765625
141,0.515625,0.515625,0.515625,0.578125,0.578125,0.578125,0.85,0.85,0.85
142,0.5,0.5,0.5,0.546875,0.546875,0.546875,0.75,0.75,0.75
143,0.453125,0.453125,0.453125,0.59375,0.59375,0.59375,0.734375,0.734375,0.734375
144,0.546875,0.546875,0.546875,0.65625,0.65625,0.65625,0.796875,0.796875,0.796875
145,0.53125,0.53125,0.53125,0.546875,0.546875,0.546875,0.7875,0.7875,0.7875
146,0.484375,0.484375,0.484375,0.40625,0.40625,0.40625,0.803125,0.803125,0.803125
147,0.546875,0.546875,0.546875,0.515625,0.515625,0.515625,0.78125,0.78125,0.78125
148,0.5,0.5,0.5,0.546875,0.546875,0.546875,0.7625,0.7625,0.7625
149,0.625,0.625,0.625,0.515625,0.515625,0.515625,0.8125,0.8125,0.8125
