Step,gigrpo_llama3.1-8b_alf_balance_cold_start_lr2e7_ds64_bs16_1106 - episode/success_rate,gigrpo_llama3.1-8b_alf_balance_cold_start_lr2e7_ds64_bs16_1106 - episode/success_rate__MIN,gigrpo_llama3.1-8b_alf_balance_cold_start_lr2e7_ds64_bs16_1106 - episode/success_rate__MAX,grpo_llama3.1-8b_alf_balance_cold_start_old_template_lr5e7_bs32_kl0.01_1030 - episode/success_rate,grpo_llama3.1-8b_alf_balance_cold_start_old_template_lr5e7_bs32_kl0.01_1030 - episode/success_rate__MIN,grpo_llama3.1-8b_alf_balance_cold_start_old_template_lr5e7_bs32_kl0.01_1030 - episode/success_rate__MAX,rlvcr_llama3.1-8b_alf_balance_cold_start_lr1e6_bs32_kl0.1_probs_1030 - episode/success_rate,rlvcr_llama3.1-8b_alf_balance_cold_start_lr1e6_bs32_kl0.1_probs_1030 - episode/success_rate__MIN,rlvcr_llama3.1-8b_alf_balance_cold_start_lr1e6_bs32_kl0.1_probs_1030 - episode/success_rate__MAX
106,0.796875,0.796875,0.796875,0.734375,0.734375,0.734375,0.703125,0.703125,0.703125
107,0.859375,0.859375,0.859375,0.65625,0.65625,0.65625,0.9375,0.9375,0.9375
108,0.828125,0.828125,0.828125,0.734375,0.734375,0.734375,0.84375,0.84375,0.84375
109,0.6875,0.6875,0.6875,0.640625,0.640625,0.640625,0.78125,0.78125,0.78125
110,0.6875,0.6875,0.6875,0.796875,0.796875,0.796875,0.859375,0.859375,0.859375
111,0.828125,0.828125,0.828125,0.765625,0.765625,0.765625,0.890625,0.890625,0.890625
112,0.84375,0.84375,0.84375,0.78125,0.78125,0.78125,0.9375,0.9375,0.9375
113,0.828125,0.828125,0.828125,0.78125,0.78125,0.78125,0.6875,0.6875,0.6875
114,0.765625,0.765625,0.765625,0.796875,0.796875,0.796875,0.890625,0.890625,0.890625
115,0.71875,0.71875,0.71875,0.90625,0.90625,0.90625,0.984375,0.984375,0.984375
116,0.84375,0.84375,0.84375,0.875,0.875,0.875,0.8125,0.8125,0.8125
117,0.796875,0.796875,0.796875,0.09375,0.09375,0.09375,0.8125,0.8125,0.8125
118,0.703125,0.703125,0.703125,0.40625,0.40625,0.40625,0.578125,0.578125,0.578125
119,0.875,0.875,0.875,0.359375,0.359375,0.359375,0.65625,0.65625,0.65625
120,0.953125,0.953125,0.953125,0.578125,0.578125,0.578125,0.78125,0.78125,0.78125
121,0.96875,0.96875,0.96875,0.8125,0.8125,0.8125,0.734375,0.734375,0.734375
122,0.734375,0.734375,0.734375,0.734375,0.734375,0.734375,0.828125,0.828125,0.828125
123,0.8125,0.8125,0.8125,0.875,0.875,0.875,0.75,0.75,0.75
124,0.84375,0.84375,0.84375,0.84375,0.84375,0.84375,0.921875,0.921875,0.921875
125,0.8125,0.8125,0.8125,0.5,0.5,0.5,0.859375,0.859375,0.859375
126,0.84375,0.84375,0.84375,0.65625,0.65625,0.65625,0.890625,0.890625,0.890625
127,0.859375,0.859375,0.859375,0.71875,0.71875,0.71875,0.9375,0.9375,0.9375
128,0.828125,0.828125,0.828125,0.71875,0.71875,0.71875,0.828125,0.828125,0.828125
129,0.8125,0.8125,0.8125,0.8125,0.8125,0.8125,0.9375,0.9375,0.9375
130,0.796875,0.796875,0.796875,0.734375,0.734375,0.734375,0.84375,0.84375,0.84375
131,0.84375,0.84375,0.84375,0.8125,0.8125,0.8125,0.84375,0.84375,0.84375
132,0.765625,0.765625,0.765625,0.828125,0.828125,0.828125,0.765625,0.765625,0.765625
133,0.890625,0.890625,0.890625,0.765625,0.765625,0.765625,0.890625,0.890625,0.890625
134,0.796875,0.796875,0.796875,0.59375,0.59375,0.59375,0.625,0.625,0.625
135,0.78125,0.78125,0.78125,0.578125,0.578125,0.578125,0.8125,0.8125,0.8125
