Step,gigpo_llama3.1-8b_sci_balance_cold_start_verl_v2_lr5e7_bs32_kl0.05_1104 - episode/success_rate,gigpo_llama3.1-8b_sci_balance_cold_start_verl_v2_lr5e7_bs32_kl0.05_1104 - episode/success_rate__MIN,gigpo_llama3.1-8b_sci_balance_cold_start_verl_v2_lr5e7_bs32_kl0.05_1104 - episode/success_rate__MAX,rlvcr_llama3.1-8b_sci_balance_cold_start_verl_v2_lr2e7_bs32_kl0.2_1027 - episode/success_rate,rlvcr_llama3.1-8b_sci_balance_cold_start_verl_v2_lr2e7_bs32_kl0.2_1027 - episode/success_rate__MIN,rlvcr_llama3.1-8b_sci_balance_cold_start_verl_v2_lr2e7_bs32_kl0.2_1027 - episode/success_rate__MAX,grpo_llama3.1-8b_sci_balance_cold_start_verl_v2_lr5e7_ds32_bs32_kl0.05_1027 - episode/success_rate,grpo_llama3.1-8b_sci_balance_cold_start_verl_v2_lr5e7_ds32_bs32_kl0.05_1027 - episode/success_rate__MIN,grpo_llama3.1-8b_sci_balance_cold_start_verl_v2_lr5e7_ds32_bs32_kl0.05_1027 - episode/success_rate__MAX
79,0.515625,0.515625,0.515625,0.703125,0.703125,0.703125,0.59375,0.59375,0.59375
80,0.625,0.625,0.625,0.828125,0.828125,0.828125,0.625,0.625,0.625
81,0.396875,0.396875,0.396875,0.8125,0.8125,0.8125,0.65625,0.65625,0.65625
82,0.34375,0.34375,0.34375,0.75,0.75,0.75,0.53125,0.53125,0.53125
83,0.5,0.5,0.5,0.71875,0.71875,0.71875,0.5,0.5,0.5
84,0.546875,0.546875,0.546875,0.765625,0.765625,0.765625,0.40625,0.40625,0.40625
85,0.640625,0.640625,0.640625,0.71875,0.71875,0.71875,0.53125,0.53125,0.53125
86,0.671875,0.671875,0.671875,0.765625,0.765625,0.765625,0.6875,0.6875,0.6875
87,0.609375,0.609375,0.609375,0.78125,0.78125,0.78125,0.8125,0.8125,0.8125
88,0.546875,0.546875,0.546875,0.75,0.75,0.75,0.65625,0.65625,0.65625
89,0.515625,0.515625,0.515625,0.703125,0.703125,0.703125,0.6875,0.6875,0.6875
90,0.46875,0.46875,0.46875,0.765625,0.765625,0.765625,0.53125,0.53125,0.53125
91,0.59375,0.59375,0.59375,0.796875,0.796875,0.796875,0.5625,0.5625,0.5625
92,0.609375,0.609375,0.609375,0.875,0.875,0.875,0.65625,0.65625,0.65625
93,0.34375,0.34375,0.34375,0.8125,0.8125,0.8125,0.78125,0.78125,0.78125
94,0.703125,0.703125,0.703125,0.78125,0.78125,0.78125,0.5625,0.5625,0.5625
95,0.59375,0.59375,0.59375,0.875,0.875,0.875,0.5625,0.5625,0.5625
96,0.734375,0.734375,0.734375,0.796875,0.796875,0.796875,0.625,0.625,0.625
97,0.6875,0.6875,0.6875,0.828125,0.828125,0.828125,0.53125,0.53125,0.53125
98,0.6875,0.6875,0.6875,0.765625,0.765625,0.765625,0.5625,0.5625,0.5625
99,0.59375,0.59375,0.59375,0.765625,0.765625,0.765625,0.5,0.5,0.5
100,0.640625,0.640625,0.640625,0.703125,0.703125,0.703125,0.625,0.625,0.625
101,0.578125,0.578125,0.578125,0.765625,0.765625,0.765625,0.625,0.625,0.625
102,0.609375,0.609375,0.609375,0.828125,0.828125,0.828125,0.53125,0.53125,0.53125
103,0.671875,0.671875,0.671875,0.8125,0.8125,0.8125,0.59375,0.59375,0.59375
104,0.625,0.625,0.625,0.75,0.75,0.75,0.65625,0.65625,0.65625
105,0.75,0.75,0.75,0.8125,0.8125,0.8125,0.6875,0.6875,0.6875
106,0.59375,0.59375,0.59375,0.78125,0.78125,0.78125,0.53125,0.53125,0.53125
107,0.734375,0.734375,0.734375,0.828125,0.828125,0.828125,0.71875,0.71875,0.71875
